freq_hz,s11_db,s21_db
2.190000000000000000e+10,-4.219724963412560470e+01,-1.193561847152102562e-01
2.192000000000000000e+10,-4.221599462685404802e+01,-1.193449630452418642e-01
2.194000000000000000e+10,-4.223468311828860067e+01,-1.193337281966680291e-01
2.196000000000000000e+10,-4.225329872251500518e+01,-1.193224819685622939e-01
2.198000000000000000e+10,-4.227182473031896848e+01,-1.193112260969168281e-01
2.200000000000000000e+10,-4.229024411225452695e+01,-1.192999622378329017e-01
2.202000000000000000e+10,-4.230853952176688182e+01,-1.192886919548664382e-01
2.204000000000000000e+10,-4.232669329846770978e+01,-1.192774167112455180e-01
2.206000000000000000e+10,-4.234468747169547242e+01,-1.192661378669311462e-01
2.208000000000000000e+10,-4.236250376451912558e+01,-1.192548566807687671e-01
2.210000000000000000e+10,-4.238012359837875920e+01,-1.192435743174528051e-01
2.212000000000000000e+10,-4.239752809856277338e+01,-1.192322918588641784e-01
2.214000000000000000e+10,-4.241469810074973878e+01,-1.192210103193749732e-01
2.216000000000000000e+10,-4.243161415882998710e+01,-1.192097306643354199e-01
2.218000000000000000e+10,-4.244825655424112654e+01,-1.191984538308991648e-01
2.220000000000000000e+10,-4.246460530701922664e+01,-1.191871807503060016e-01
2.222000000000000000e+10,-4.248064018876613090e+01,-1.191759123706886692e-01
2.224000000000000000e+10,-4.249634073769733078e+01,-1.191646496792935772e-01
2.226000000000000000e+10,-4.251168627590375593e+01,-1.191533937233544560e-01
2.228000000000000000e+10,-4.252665592892877555e+01,-1.191421456285556568e-01
2.230000000000000000e+10,-4.254122864770223345e+01,-1.191309066144207729e-01
2.232000000000000000e+10,-4.255538323285427538e+01,-1.191196780059314980e-01
2.234000000000000000e+10,-4.256909836135720582e+01,-1.191084612408561672e-01
2.236000000000000000e+10,-4.258235261541322103e+01,-1.190972578725295050e-01
2.238000000000000000e+10,-4.259512451345740658e+01,-1.190860695678731679e-01
2.240000000000000000e+10,-4.260739254310679769e+01,-1.190748981007999502e-01
2.242000000000000000e+10,-4.261913519584201282e+01,-1.190637453411794028e-01
2.244000000000000000e+10,-4.263033100319230329e+01,-1.190526132397963788e-01
